nbSyll;pron;origin;warning;remarques;POS;lineId;pageId;Mot;pronSampa;ipa
3;aʹbăcus;;;;n.;2.0;19;abacus;{ b @ k @ s;æbəkəs
3;ābăʹndon;F.;;;v.;5.0;19;abandon;@ b { n d @ n;əbændən
4;ābăʹndŏned;;;;a.;6.0;19;abandoned;@ b { n d @ n d;əbændənd
2;ăbăʹſh;F.;;;v.;9.0;19;abash;@ b { S;əbæʃ
2;ăbāʹte;F.;;;v.;10.0;19;abate;@ b eI t;əb?t
3;ăbāʹt_e_ment;F.;;;n.;11.0;19;abatement;@ b eI t m @ n t;əb?tmənt
2;ăʹbbey;;;;n.;13.0;19;abbey;{ b i:;æbiː
2;ăʹbbŏt;;;;n.;14.0;19;abbot;{ b @ t;æbət
4;ăbbrĕʹvĭāte;L.;;;v.;15.0;19;abbreviate;@ b r\ i: v i: eI t;əbɹiːviː?t
6;ăbbrevĭāʹtion;L.;;;n.;16.0;19;abbreviation;@ b r\ i: v i: eI S @ n;əbɹiːviː?ʃən
3;ăʹbdicāte;L.;;;v.;17.0;19;abdicate;{ b d @ k eI t;æbdək?t
3;ăbdōʹmen;;;;n.;18.0;19;abdomen;{ b d @U m @ n;æbdoʊmən
2;ăbĕʹt;;;;v.;19.0;19;abet;@ b E t;əbɛt
3;ăbeʹyănce;F.;;;n.;22.0;19;abeyance;@ b eI @ n s;əb?əns
2;ăbhŏʹr;L.;;;v.;23.0;19;abhor;{ b h O: r\;æbhOːɹ
3;ăbhŏʹrrence;;;;n.;24.0;19;abhorrence;@ b h O: r\ @ n s;əbhOːɹəns
2;ābīʹde;;;;v.;25.0;19;abide;@ b aI d;əb?d
2;ăʹbject;L.;;;a.;26.0;19;abject;{ b dZ E k t;æb?ɛkt
4;abĭʹlĭty;;;;n.;27.0;19;ability;@ b I l @ 4 i:;əbɪləɾiː
2;ăʹboard;;;;p.;36.0;19;aboard;@ b O: r\ d;əbOːɹd
2;ābōʹde;;;;n.;37.0;19;abode;@ b @U d;əboʊd
3;ăbŏʹlĭſh;L.;;;v.;2.0;20;abolish;@ b A l i S;əbɑliʃ
4;ăbŏʹmĭnāte;L.;;;v.;3.0;20;abominate;@ b A m @ n eI t;əbɑmən?t
6;ăbŏʹmĭnāʹtion;L.;;;n.;4.0;20;abomination;@ b A m @ n eI S @ n;əbɑmən?ʃən
4;ăborīʹgĭnes;L.;;;n.;5.0;20;aborigines;{ b 3:r I dZ @ n i: z;æbɜ:rɪ?əniːz
4;ăbŏʹrtion;L.;;;n.;6.0;20;abortion;@ b O: r\ S @ n;əbOːɹʃən
3;ăbŏʹrtive;;;;a.;7.0;20;abortive;@ b O: r\ 4 i v;əbOːɹɾiv
2;abrĭʹdge;F.;;;v.;9.0;20;abridge;@ b r\ I dZ;əbɹɪ?
2;abroaʹd;;;;a.;11.0;20;abroad;@ b r\ O: d;əbɹOːd
3;ăʹbrŏgāte;L.;;;v.;12.0;20;abrogate;{ b r\ @ g eI t;æbɹəg?t
2;ăbrŭpt;L.;nbSyll>1 et pas d'accent tonic;;a.;13.0;20;abrupt;@ b r\ V p t;əbɹʌpt
2;ăʹbſcĕſs;L.;;;n.;14.0;20;abscess;{ b s E s;æbsɛs
2;ăʹbſĕnt;L.;;;v.;16.0;20;absent;{ b s @ n t;æbsənt
3;ăbſĕnteeʹ;L.;;;n.;17.0;20;absentee;{ b s @ n t i:;æbsəntiː
2;ăbſŏʹlve;L.;;;v.;18.0;20;absolve;@ b z A l v;əbzɑlv
3;ăʹbſŏlūte;L.;;;a.;19.0;20;absolute;{ b s @ l u t;æbsəlut
5;ăbſŏlūʹtion;L.;;;n.;20.0;20;absolution;{ b s @ l u S @ n;æbsəluʃən
2;ăbſŏʹrb;L.;;;v.;21.0;20;absorb;@ b z O: r\ b;əbzOːɹb
2;ăbſtaiʹn;L.;;;v.;23.0;20;abstain;@ b s t eI n;əbst?n
